release_version,sample_id,item_index,additive_name_raw,additive_name,amount_raw,amount_value,amount_unit,gold_label,binary_label,food_category_code,food_category_name,category_path_codes,category_path_names,evidence_status,evidence_rule_category_code,evidence_rule_category_name,evidence_additive_name,cns,ins,max_amount,rule_unit,remark,calculation_basis,candidate_rule_count,source_standard,correction_applied
partial-dataset-v1.0.0,5,2,甘草抗氧化物,甘草抗氧化物,0.16g/kg,0.16,g/kg,SAFE,SAFE,08.03.06,发酵肉制品类,08.03.06 > 08.03 > 08.0,发酵肉制品类 > 熟肉制品 > 肉及肉制品,supporting_rule_found,08.03.06,发酵肉制品类,甘草抗氧化物,4.008,,0.2,g/kg,,以甘草酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,5,3,乳酸钙,乳酸钙,0.1g/kg,0.1,g/kg,RISK_FORBIDDEN,RISK,08.03.06,发酵肉制品类,08.03.06 > 08.03 > 08.0,发酵肉制品类 > 熟肉制品 > 肉及肉制品,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,6,1,β-环状糊精,β-环状糊精,0.8g/kg,0.8,g/kg,SAFE,SAFE,08.02,预制肉制品,08.02 > 08.0,预制肉制品 > 肉及肉制品,supporting_rule_found,08.02,预制肉制品,β-环状糊精,20.024,459,1.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,6,2,甘氨酸,甘氨酸,4.0g/kg,4.0,g/kg,RISK_OVERLIMIT,RISK,08.02,预制肉制品,08.02 > 08.0,预制肉制品 > 肉及肉制品,supporting_rule_found,08.02,预制肉制品,氨基乙酸,12.007,640,3.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,6,3,茶黄素,茶黄素,0.5g/kg,0.5,g/kg,RISK_OVERLIMIT,RISK,08.02,预制肉制品,08.02 > 08.0,预制肉制品 > 肉及肉制品,supporting_rule_found,08.02,预制肉制品,茶黄素,4.023,,0.3,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,6,4,磷酸及磷酸盐,磷酸及磷酸盐,4.0g/kg,4.0,g/kg,SAFE,SAFE,08.02,预制肉制品,08.02 > 08.0,预制肉制品 > 肉及肉制品,supporting_rule_found,08.02,预制肉制品,"磷酸及磷酸盐[包括磷酸,焦磷酸二氢二钠,焦磷酸钠,磷酸二氢钙,磷酸二氢钾,磷酸氢二铵,磷酸氢二钾,磷酸氢钙,磷酸三钙,磷酸三钾,磷酸三钠,多聚磷酸钠(包括六偏磷酸钠),三聚磷酸钠,磷酸二氢钠,磷酸氢二钠,焦磷酸四钾,焦磷酸一氢三钠,聚偏磷酸钾,酸式焦磷酸钙]",1.106,338,5.0,g/kg,可单独或混合使用,磷酸根(PO43- ),1,GB 2760-2024,False
partial-dataset-v1.0.0,6,5,沙蒿胶,沙蒿胶,0.45g/kg,0.45,g/kg,SAFE,SAFE,08.02,预制肉制品,08.02 > 08.0,预制肉制品 > 肉及肉制品,supporting_rule_found,08.02,预制肉制品,沙蒿胶,20.037,,0.5,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,7,1,日落黄及其铝色淀,日落黄及其铝色淀,0.3g/kg,0.3,g/kg,SAFE,SAFE,12.10.02,半固体复合调味料,12.10.02 > 12.10 > 12.0,半固体复合调味料 > 复合调味料 > 调味品,supporting_rule_found,12.10.02,半固体复合调味料,"日落黄及其铝色淀(包括日落黄,日落黄铝色淀)",8.006,110,0.5,g/kg,,以日落黄计,2,GB 2760-2024,False
partial-dataset-v1.0.0,7,2,番茄红,番茄红,0.188g/kg,0.188,g/kg,RISK_OVERLIMIT,RISK,12.10.02,半固体复合调味料,12.10.02 > 12.10 > 12.0,半固体复合调味料 > 复合调味料 > 调味品,supporting_rule_found,12.10.02,半固体复合调味料,番茄红素,8.017,160d,0.04,g/kg,,以纯番茄红素计,1,GB 2760-2024,False
partial-dataset-v1.0.0,7,3,三氯蔗糖,三氯蔗糖,0.1g/kg,0.1,g/kg,SAFE,SAFE,12.10.02,半固体复合调味料,12.10.02 > 12.10 > 12.0,半固体复合调味料 > 复合调味料 > 调味品,supporting_rule_found,12.10,复合调味料,三氯蔗糖(又名蔗糖素),19.016,955,0.25,g/kg,,,1,GB 2760-2024,True
partial-dataset-v1.0.0,8,1,乳酸链球菌素,乳酸链球菌素,0.3g/kg,0.3,g/kg,SAFE,SAFE,08.03,熟肉制品,08.03 > 08.0,熟肉制品 > 肉及肉制品,supporting_rule_found,08.03,熟肉制品(08.03.08肉罐头类除外),乳酸链球菌素,17.019,234,0.5,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,8,2,"脱氢乙酸及其钠盐(包括脱氢乙酸,脱氢乙酸钠)","脱氢乙酸及其钠盐(包括脱氢乙酸,脱氢乙酸钠)",0.75g/kg,0.75,g/kg,RISK_OVERLIMIT,RISK,08.03,熟肉制品,08.03 > 08.0,熟肉制品 > 肉及肉制品,supporting_rule_found,08.03,熟肉制品(08.03.08肉罐头类除外),"脱氢乙酸及其钠盐(包括脱氢乙酸,脱氢乙酸钠)",17.009,265,0.5,g/kg,,以脱氢乙酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,8,3,丙二醇脂肪酸酯,丙二醇脂肪酸酯,0.1g/kg,0.1,g/kg,RISK_FORBIDDEN,RISK,08.03,熟肉制品,08.03 > 08.0,熟肉制品 > 肉及肉制品,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,9,1,日落黄及其铝色淀,日落黄及其铝色淀,0.4g/kg,0.4,g/kg,SAFE,SAFE,11.05.01,水果调味糖浆,11.05.01 > 11.05 > 11.0,"水果调味糖浆 > 调味糖浆 > 甜味料,包括蜂蜜",supporting_rule_found,11.05.01,水果调味糖浆,"日落黄及其铝色淀(包括日落黄,日落黄铝色淀)",8.006,110,0.5,g/kg,,以日落黄计,1,GB 2760-2024,False
partial-dataset-v1.0.0,9,2,茶多酚,茶多酚,0.6g/kg,0.6,g/kg,RISK_OVERLIMIT,RISK,11.05.01,水果调味糖浆,11.05.01 > 11.05 > 11.0,"水果调味糖浆 > 调味糖浆 > 甜味料,包括蜂蜜",supporting_rule_found,11.05.01,水果调味糖浆,"茶多酚(又名维多酚,简称""TP"")",4.005,,0.5,g/kg,,以儿茶素计,1,GB 2760-2024,False
partial-dataset-v1.0.0,9,3,柠檬黄及其铝色淀,柠檬黄及其铝色淀,0.4g/kg,0.4,g/kg,SAFE,SAFE,11.05.01,水果调味糖浆,11.05.01 > 11.05 > 11.0,"水果调味糖浆 > 调味糖浆 > 甜味料,包括蜂蜜",supporting_rule_found,11.05.01,水果调味糖浆,"柠檬黄及其铝色淀(包括柠檬黄,柠檬黄铝色淀)",8.005,102,0.5,g/kg,,以柠檬黄计,1,GB 2760-2024,False
partial-dataset-v1.0.0,9,4,胭脂红及其铝色淀,胭脂红及其铝色淀,0.35g/kg,0.35,g/kg,SAFE,SAFE,11.05.01,水果调味糖浆,11.05.01 > 11.05 > 11.0,"水果调味糖浆 > 调味糖浆 > 甜味料,包括蜂蜜",supporting_rule_found,11.05.01,水果调味糖浆,"胭脂红及其铝色淀(包括胭脂红,胭脂红铝色淀)",8.002,124,0.5,g/kg,,胭脂红,2,GB 2760-2024,False
partial-dataset-v1.0.0,10,1,磷酸及磷酸盐,磷酸及磷酸盐,3.0g/kg,3.0,g/kg,SAFE,SAFE,06.05.01,食用淀粉,06.05.01 > 06.05 > 06.0,"食用淀粉 > 淀粉及淀粉类制品 > 粮食和粮食制品,包括大米、面粉、杂粮、块根植物、豆类和玉米提取的淀粉等(不包括07.0类焙烤制品)",supporting_rule_found,06.05.01,食用淀粉,"磷酸及磷酸盐[包括磷酸,焦磷酸二氢二钠,焦磷酸钠,磷酸二氢钙,磷酸二氢钾,磷酸氢二铵,磷酸氢二钾,磷酸氢钙,磷酸三钙,磷酸三钾,磷酸三钠,多聚磷酸钠(包括六偏磷酸钠),三聚磷酸钠,磷酸二氢钠,磷酸氢二钠,焦磷酸四钾,焦磷酸一氢三钠,聚偏磷酸钾,酸式焦磷酸钙]",1.106,338,5.0,g/kg,,磷酸根(PO43- )计,1,GB 2760-2024,False
partial-dataset-v1.0.0,10,2,高锰酸钾,高锰酸钾,0.4g/kg,0.4,g/kg,SAFE,SAFE,06.05.01,食用淀粉,06.05.01 > 06.05 > 06.0,"食用淀粉 > 淀粉及淀粉类制品 > 粮食和粮食制品,包括大米、面粉、杂粮、块根植物、豆类和玉米提取的淀粉等(不包括07.0类焙烤制品)",supporting_rule_found,06.05.01,食用淀粉,高锰酸钾,0.001,,0.5,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,11,1,双乙酰酒石酸单双甘油酯,双乙酰酒石酸单双甘油酯,3.0g/kg,3.0,g/kg,SAFE,SAFE,11.01.02,赤砂糖、原糖、其他糖和糖浆,11.01.02 > 11.01 > 11.0,"赤砂糖、原糖、其他糖和糖浆 > 食糖 > 甜味料,包括蜂蜜",supporting_rule_found,11.01.02,赤砂糖、原糖、其他糖和糖浆,双乙酰酒石酸单双甘油酯,10.01,472e,5.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,11,2,二氧化硫及亚硫酸盐,二氧化硫及亚硫酸盐,0.15g/kg,0.15,g/kg,RISK_OVERLIMIT,RISK,11.01.02,赤砂糖、原糖、其他糖和糖浆,11.01.02 > 11.01 > 11.0,"赤砂糖、原糖、其他糖和糖浆 > 食糖 > 甜味料,包括蜂蜜",supporting_rule_found,11.01.02,赤砂糖、原糖、其他糖和糖浆,"二氧化硫及亚硫酸盐(包括二氧化硫,焦亚 硫酸钾,焦亚硫酸钠,亚硫酸钠,亚硫酸氢钠,低亚硫酸钠)",5.001,220,0.1,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,11,3,褐藻酸钠,褐藻酸钠,12g/kg,12.0,g/kg,RISK_OVERLIMIT,RISK,11.01.02,赤砂糖、原糖、其他糖和糖浆,11.01.02 > 11.01 > 11.0,"赤砂糖、原糖、其他糖和糖浆 > 食糖 > 甜味料,包括蜂蜜",supporting_rule_found,11.01.02,赤砂糖、原糖、其他糖和糖浆,海藻酸钠(又名褐藻酸钠),20.004,401,10.0,g/kg,,,2,GB 2760-2024,False
partial-dataset-v1.0.0,11,4,汉生胶,汉生胶,4g/kg,4.0,g/kg,SAFE,SAFE,11.01.02,赤砂糖、原糖、其他糖和糖浆,11.01.02 > 11.01 > 11.0,"赤砂糖、原糖、其他糖和糖浆 > 食糖 > 甜味料,包括蜂蜜",supporting_rule_found,11.01.02,赤砂糖、原糖、其他糖和糖浆,黄原胶(又名汉生胶),20.009,415,5.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,12,1,山梨酸及其钾盐,山梨酸及其钾盐,0.3g/kg,0.3,g/kg,SAFE,SAFE,04.01.01.02,经表面处理的鲜水果,04.01.01.02 > 04.01.01 > 04.01 > 04.0,经表面处理的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.02,经表面处理的鲜水果,"山梨酸及其钾盐(包括山梨酸,山梨酸钾)",17.003,200,0.5,g/kg,,以山梨酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,12,2,司盘类,司盘类,2.4g/kg,2.4,g/kg,SAFE,SAFE,04.01.01.02,经表面处理的鲜水果,04.01.01.02 > 04.01.01 > 04.01 > 04.0,经表面处理的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.02,经表面处理的鲜水果,"司盘类[包括山梨醇酐单月桂酸酯(又名司盘20),山梨醇酐单棕榈酸酯 (又名司盘40),山梨醇酐单硬脂酸酯 (又名司盘60),山梨醇酐三硬脂酸酯 (又名司盘65),山梨醇酐单油酸酯(又名司盘80)]",10.024,493,3.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,12,3,对羟基苯甲酸酯类及其钠盐,对羟基苯甲酸酯类及其钠盐,0.01g/kg,0.01,g/kg,SAFE,SAFE,04.01.01.02,经表面处理的鲜水果,04.01.01.02 > 04.01.01 > 04.01 > 04.0,经表面处理的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.02,经表面处理的鲜水果,"对羟基苯甲酸酯类及其钠盐(包括对羟基苯甲酸甲酯钠,对羟基苯甲酸乙酯,对羟基苯甲酸乙酯钠)",17.032,219,0.012,g/kg,,以对羟基苯甲酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,12,4,二氧化硫及亚硫酸盐,二氧化硫及亚硫酸盐,0.1g/kg,0.1,g/kg,RISK_OVERLIMIT,RISK,04.01.01.02,经表面处理的鲜水果,04.01.01.02 > 04.01.01 > 04.01 > 04.0,经表面处理的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.02,经表面处理的鲜水果,"二氧化硫及亚硫酸盐(包括二氧化硫,焦亚 硫酸钾,焦亚硫酸钠,亚硫酸钠,亚硫酸氢钠,低亚硫酸钠)",5.001,220,0.05,g/kg,,二氧化硫残留量计,1,GB 2760-2024,False
partial-dataset-v1.0.0,12,5,氢化松香甘油酯,氢化松香甘油酯,0.8g/kg,0.8,g/kg,RISK_OVERLIMIT,RISK,04.01.01.02,经表面处理的鲜水果,04.01.01.02 > 04.01.01 > 04.01 > 04.0,经表面处理的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.02,经表面处理的鲜水果,氢化松香甘油酯,10.013,,0.5,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,13,1,靛蓝及其铝色淀,靛蓝及其铝色淀,0.06g/kg,0.06,g/kg,SAFE,SAFE,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,supporting_rule_found,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果(05.01.01可可制品除外),"靛蓝及其铝色淀(包括靛蓝,靛蓝铝色淀)",8.008,132,0.1,g/kg,,以靛蓝计,1,GB 2760-2024,False
partial-dataset-v1.0.0,13,2,赤藓红及其铝色淀,赤藓红及其铝色淀,0.075g/kg,0.075,g/kg,RISK_OVERLIMIT,RISK,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,supporting_rule_found,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果(05.01.01可可制品除外),"赤藓红及其铝色淀(包括赤藓红,赤藓红铝色淀)",8.003,127,0.05,g/kg,,以赤藓红计,1,GB 2760-2024,False
partial-dataset-v1.0.0,13,3,姜黄素,姜黄素,0.02g/kg,0.02,g/kg,RISK_OVERLIMIT,RISK,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,supporting_rule_found,05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,姜黄素,8.132,100,0.01,g/kg,,,2,GB 2760-2024,False
partial-dataset-v1.0.0,14,1,D-异抗坏血酸及其钠盐,D-异抗坏血酸及其钠盐,1g/kg,1.0,g/kg,RISK_FORBIDDEN,RISK,04.01.01.03,去皮或预切的鲜水果,04.01.01.03 > 04.01.01 > 04.01 > 04.0,去皮或预切的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,14,2,抗坏血酸钙,抗坏血酸钙,0.9g/kg,0.9,g/kg,SAFE,SAFE,04.01.01.03,去皮或预切的鲜水果,04.01.01.03 > 04.01.01 > 04.01 > 04.0,去皮或预切的鲜水果 > 新鲜水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.01.03,去皮或预切的鲜水果,抗坏血酸钙,4.009,302,1.0,g/kg,,以抗坏血酸钙残留量计,1,GB 2760-2024,False
partial-dataset-v1.0.0,15,1,乳酸链球菌素,乳酸链球菌素,0.4g/kg,0.4,g/kg,SAFE,SAFE,04.03.02.01,冷冻食用菌和藻类,04.03.02.01 > 04.03.02 > 04.03 > 04.0,冷冻食用菌和藻类 > 加工食用菌和藻类 > 食用菌和藻类 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.03.02,加工食用菌和藻类(04.03.02.04食用菌和藻类罐头除外),乳酸链球菌素,17.019,234,0.5,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,15,2,双乙酰酒石酸单双甘油酯,双乙酰酒石酸单双甘油酯,3.75g/kg,3.75,g/kg,RISK_FORBIDDEN,RISK,04.03.02.01,冷冻食用菌和藻类,04.03.02.01 > 04.03.02 > 04.03 > 04.0,冷冻食用菌和藻类 > 加工食用菌和藻类 > 食用菌和藻类 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,16,1,L(+)-酒石酸,L(+)-酒石酸,3g/L,3.0,g/L,SAFE,SAFE,15.03.01.03,调香葡萄酒,15.03.01.03 > 15.03.01 > 15.03 > 15.0,调香葡萄酒 > 葡萄酒 > 发酵酒 > 酒类,supporting_rule_found,15.03.01,葡萄酒,"L(+)-酒石酸,dl-酒石酸",1.111,334,4.0,g/L,,酒石酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,16,2,焦糖色(亚硫酸铵法),焦糖色(亚硫酸铵法),75.0g/L,75.0,g/L,RISK_OVERLIMIT,RISK,15.03.01.03,调香葡萄酒,15.03.01.03 > 15.03.01 > 15.03 > 15.0,调香葡萄酒 > 葡萄酒 > 发酵酒 > 酒类,supporting_rule_found,15.03.01.03,调香葡萄酒,焦糖色(亚硫酸铵法),8.109,150d,50.0,g/L,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,17,1,β-胡萝卜素,β-胡萝卜素,0.6g/kg,0.6,g/kg,SAFE,SAFE,04.01.02.03,醋、油或盐渍水果,04.01.02.03 > 04.01.02 > 04.01 > 04.0,醋、油或盐渍水果 > 加工水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.02.03,醋、油或盐渍水果,β-胡萝卜素,8.01,160a,1.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,17,2,纽甜,纽甜,0.15g/kg,0.15,g/kg,RISK_OVERLIMIT,RISK,04.01.02.03,醋、油或盐渍水果,04.01.02.03 > 04.01.02 > 04.01 > 04.0,醋、油或盐渍水果 > 加工水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.01.02.03,醋、油或盐渍水果,纽甜,19.019,961,0.1,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,17,3,磷酸化二淀粉磷酸酯,磷酸化二淀粉磷酸酯,0.1g/kg,0.1,g/kg,RISK_FORBIDDEN,RISK,04.01.02.03,醋、油或盐渍水果,04.01.02.03 > 04.01.02 > 04.01 > 04.0,醋、油或盐渍水果 > 加工水果 > 水果 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,18,1,胭脂红及其铝色淀,胭脂红及其铝色淀,0.02g/kg,0.02,g/kg,SAFE,SAFE,16.03,胶原蛋白肠衣,16.03 > 16.0,胶原蛋白肠衣 > 其他类(01.0~15.0除外),supporting_rule_found,16.03,胶原蛋白肠衣,"胭脂红及其铝色淀(包括胭脂红,胭脂红铝色淀)",8.002,124,0.025,g/kg,,以胭脂红计,1,GB 2760-2024,False
partial-dataset-v1.0.0,18,2,山梨酸及其钾盐,山梨酸及其钾盐,0.75g/kg,0.75,g/kg,RISK_OVERLIMIT,RISK,16.03,胶原蛋白肠衣,16.03 > 16.0,胶原蛋白肠衣 > 其他类(01.0~15.0除外),supporting_rule_found,16.03,胶原蛋白肠衣,"山梨酸及其钾盐(包括山梨酸,山梨酸钾)",17.003,200,0.5,g/kg,,以山梨酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,18,3,诱惑红及其铝色淀,诱惑红及其铝色淀,0.06g/kg,0.06,g/kg,RISK_OVERLIMIT,RISK,16.03,胶原蛋白肠衣,16.03 > 16.0,胶原蛋白肠衣 > 其他类(01.0~15.0除外),supporting_rule_found,16.03,胶原蛋白肠衣,"诱惑红及其铝色淀(包括诱惑红,诱惑红铝色淀)",8.012,129,0.05,g/kg,,以诱惑红计,1,GB 2760-2024,False
partial-dataset-v1.0.0,19,1,双乙酰酒石酸单双甘油酯,双乙酰酒石酸单双甘油酯,6.0g/kg,6.0,g/kg,SAFE,SAFE,03.03,风味冰、冰棍类,03.03 > 03.0,风味冰、冰棍类 > 冷冻饮品,supporting_rule_found,03.0,冷冻饮品(03.04食用冰除外),双乙酰酒石酸单双甘油酯,10.01,472e,10.0,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,19,2,天门冬酰苯丙氨酸甲酯乙酰磺胺酸,天门冬酰苯丙氨酸甲酯乙酰磺胺酸,0.544g/kg,0.544,g/kg,SAFE,SAFE,03.03,风味冰、冰棍类,03.03 > 03.0,风味冰、冰棍类 > 冷冻饮品,supporting_rule_found,03.0,冷冻饮品(03.04食用冰除外),天门冬酰苯丙氨酸甲酯乙酰磺胺酸<sup>9</sup>),19.012,962,0.68,g/kg,,,1,GB 2760-2024,False
